Category,category_id,Subcategory,subcategory_id,amount,year
議会費,1,議会費,101,313896000,2013
総務費,2,総務管理費,201,5065771000,2013
総務費,2,徴税費,202,506849000,2013
総務費,2,戸籍住民基本台帳費,203,149401000,2013
総務費,2,選挙費,204,67557000,2013
総務費,2,統計調査費,205,19691000,2013
総務費,2,監査委員費,206,31919000,2013
民生費,3,社会福祉費,301,4087159000,2013
民生費,3,老人福祉費,302,1853037000,2013
民生費,3,同和行政費,303,311510000,2013
民生費,3,児童福祉費,304,5280394000,2013
民生費,3,生活保護費,305,1631322000,2013
民生費,3,災害救助費,306,503000,2013
衛生費,4,保健衛生費,401,2193934000,2013
衛生費,4,清掃費,402,2279450000,2013
労働費,5,労働費,501,154092000,2013
農林業費,6,農業費,601,1409715000,2013
農林業費,6,林業費,602,148020000,2013
商工費,7,商工費,701,574053000,2013
土木費,8,土木管理費,801,119760000,2013
土木費,8,道路橋りょう費,802,1242138000,2013
土木費,8,河川費,803,319085000,2013
土木費,8,都市計画費,804,1717788000,2013
土木費,8,住宅費,805,288724000,2013
消防費,9,消防費,901,1581203000,2013
教育費,10,教育総務費,1001,586381000,2013
教育費,10,小学校費,1002,1321107000,2013
教育費,10,中学校費,1003,454847000,2013
教育費,10,幼稚園費,1004,83987000,2013
教育費,10,社会教育費,1005,632746000,2013
教育費,10,保健体育費,1006,568442000,2013
災害復旧費,11,農林施設災害復旧費,1101,100000000,2013
災害復旧費,11,公共土木施設災害復旧費,1102,100000000,2013
災害復旧費,11,その他・公用施設災害復旧費,1103,30000000,2013
公債費,12,公債費,1201,6757600000,2013
予備費,13,予備費,1301,30000000,2013
